Player name,Age,club,market value,League,position
Konrad Laimer,26,Bayern Munich,28.0,Bundesliga,Central Midfield
Aymeric Laporte,29,Al-Nassr FC,25.0,Saudi Pro League,Centre-Back
Lesley Ugochukwu,19,Chelsea FC,9.0,Premier League,Defensive Midfield
Carlos Baleba,19,Brighton & Hove Albion,5.0,Premier League,Defensive Midfield
Nicolò Zaniolo,24,Aston Villa,27.0,Premier League,Attacking Midfield
Daichi Kamada,26,SS Lazio,27.0,Serie A,Attacking Midfield
Tyler Adams,24,AFC Bournemouth,18.0,Premier League,Defensive Midfield
Nathan Collins,22,Brentford FC,22.0,Premier League,Centre-Back
Hamed Junior Traorè,23,AFC Bournemouth,22.0,Premier League,Attacking Midfield
Beto,25,Everton FC,25.0,Premier League,Centre-Forward
Lovro Majer,25,VfL Wolfsburg,20.0,Bundesliga,Attacking Midfield
Kevin Schade,21,Brentford FC,25.0,Premier League,Right Winger
Ernest Nuamah,19,RWD Molenbeek,6.0,Jupiler Pro League,Right Winger
Christian Pulisic,24,AC Milan,25.0,Serie A,Right Winger
Samuel Chukwueze,24,AC Milan,25.0,Serie A,Right Winger
Antoine Griezmann,32,Atlético de Madrid,25.0,LaLiga,Centre-Forward
Ruben Loftus-Cheek,27,AC Milan,25.0,Serie A,Central Midfield
Marcos Leonardo,20,SL Benfica,25.0,Liga Portugal,Centre-Forward
Marcelo Brozovic,30,Al-Nassr FC,25.0,Saudi Pro League,Defensive Midfield
Hirving Lozano,28,PSV Eindhoven,25.0,Eredivisie,Right Winger
Yannick Carrasco,30,Al-Shabab FC,25.0,Saudi Pro League,Left Winger
Timothy Castagne,27,Fulham FC,25.0,Premier League,Right-Back
Franck Kessié,26,Al-Ahli SFC,25.0,Saudi Pro League,Central Midfield
Boulaye Dia,26,US Salernitana 1919,25.0,Serie A,Centre-Forward
Davide Frattesi,23,Inter Milan,25.0,Serie A,Central Midfield
Arnaut Danjuma,26,Everton FC,25.0,Premier League,Left Winger
Kieran Tierney,26,Real Sociedad,25.0,LaLiga,Left-Back
Mattéo Guendouzi,24,SS Lazio,25.0,Serie A,Central Midfield
Alejandro Grimaldo,27,Bayer 04 Leverkusen,25.0,Bundesliga,Left-Back
Jadon Sancho,23,Borussia Dortmund,25.0,Bundesliga,Left Winger
Brenden Aaronson,22,1.FC Union Berlin,25.0,Bundesliga,Attacking Midfield
Tetê,23,Galatasaray,25.0,Süper Lig,Right Winger
Taylor Harwood-Bellis,21,Southampton FC,25.0,Championship,Centre-Back
Youri Tielemans,26,Aston Villa,25.0,Premier League,Central Midfield
Marco Asensio,27,Paris Saint-Germain,25.0,Ligue 1,Left Winger
Karim Benzema,35,Al-Ittihad Club,25.0,Saudi Pro League,Centre-Forward
Eljif Elmas,24,RB Leipzig,24.0,Bundesliga,Attacking Midfield
Benjamin Sesko,20,RB Leipzig,24.0,Bundesliga,Centre-Forward
Christoph Baumgartner,23,RB Leipzig,24.0,Bundesliga,Attacking Midfield
Nathan Tella,24,Bayer 04 Leverkusen,18.0,Bundesliga,Right Winger
Alex Scott,19,AFC Bournemouth,20.0,Premier League,Central Midfield
Kalidou Koulibaly,32,Al-Hilal SFC,15.0,Saudi Pro League,Centre-Back
Gonçalo Guedes,26,SL Benfica,23.0,Liga Portugal,Left Winger
Terem Moffi,24,OGC Nice,20.0,Ligue 1,Centre-Forward
Calvin Bassey,23,Fulham FC,15.0,Premier League,Centre-Back
Gianluca Scamacca,24,Atalanta BC,22.0,Serie A,Centre-Forward
Kang-in Lee,22,Paris Saint-Germain,22.0,Ligue 1,Attacking Midfield
Luiz Felipe,26,Al-Ittihad Club,15.0,Saudi Pro League,Centre-Back
Anatoliy Trubin,22,SL Benfica,22.0,Liga Portugal,Goalkeeper
Djibril Sow,26,Sevilla FC,22.0,LaLiga,Central Midfield
Charles De Ketelaere,22,Atalanta BC,22.0,Serie A,Attacking Midfield
Jack Harrison,26,Everton FC,22.0,Premier League,Right Winger
Wilfried Zaha,30,Galatasaray,22.0,Süper Lig,Left Winger
Tanguy Ndombélé,26,Galatasaray,22.0,Süper Lig,Central Midfield
Luis Sinisterra,24,AFC Bournemouth,22.0,Premier League,Left Winger
Cameron Archer,21,Sheffield United,12.0,Premier League,Centre-Forward
Bono,32,Al-Hilal SFC,12.0,Saudi Pro League,Goalkeeper
Victor Boniface,22,Bayer 04 Leverkusen,12.0,Bundesliga,Centre-Forward
Josip Sutalo,23,Ajax Amsterdam,18.0,Eredivisie,Centre-Back
Riyad Mahrez,32,Al-Ahli SFC,20.0,Saudi Pro League,Right Winger
Yunus Musah,20,AC Milan,18.0,Serie A,Central Midfield
Wataru Endo,30,Liverpool FC,6.5,Premier League,Defensive Midfield
Denis Zakaria,26,AS Monaco,18.0,Ligue 1,Defensive Midfield
Enzo Le Fée,23,Stade Rennais FC,20.0,Ligue 1,Attacking Midfield
Arthur Cabral,25,SL Benfica,20.0,Liga Portugal,Centre-Forward
Viktor Gyökeres,25,Sporting CP,13.0,Liga Portugal,Centre-Forward
Konstantinos Mavropanos,25,West Ham United,15.0,Premier League,Centre-Back
Arda Güler,18,Real Madrid,15.0,LaLiga,Attacking Midfield
Lucas Beraldo,20,Paris Saint-Germain,15.0,Ligue 1,Centre-Back
Abakar Sylla,20,RC Strasbourg Alsace,8.0,Ligue 1,Centre-Back
Matheus França,19,Crystal Palace,9.0,Premier League,Attacking Midfield
Bart Verbruggen,20,Brighton & Hove Albion,10.0,Premier League,Goalkeeper
Andrea Pinamonti,24,US Sassuolo,15.0,Serie A,Centre-Forward
Nicolas Seiwald,22,RB Leipzig,20.0,Bundesliga,Central Midfield
Marcel Sabitzer,29,Borussia Dortmund,20.0,Bundesliga,Central Midfield
Merih Demiral,25,Al-Ahli SFC,20.0,Saudi Pro League,Centre-Back
Granit Xhaka,30,Bayer 04 Leverkusen,20.0,Bundesliga,Defensive Midfield
Cengiz Ünder,26,Fenerbahce,20.0,Süper Lig,Right Winger
Ludovic Blas,25,Stade Rennais FC,20.0,Ligue 1,Attacking Midfield
Noah Okafor,23,AC Milan,20.0,Serie A,Centre-Forward
Sander Berge,25,Burnley FC,20.0,Premier League,Defensive Midfield
Renan Lodi,25,Olympique Marseille,20.0,Ligue 1,Left-Back
Ismaïla Sarr,25,Olympique Marseille,20.0,Ligue 1,Right Winger
Fred,30,Fenerbahce,20.0,Süper Lig,Central Midfield
Demarai Gray,27,Al-Ettifaq FC,20.0,Saudi Pro League,Left Winger
Armel Bella-Kotchap,21,PSV Eindhoven,20.0,Eredivisie,Centre-Back
Daniel Podence,27,Olympiacos Piraeus,20.0,Super League 1,Right Winger
Ramy Bensebaini,28,Borussia Dortmund,20.0,Bundesliga,Left-Back
Raphaël Guerreiro,29,Bayern Munich,20.0,Bundesliga,Left-Back
İlkay Gündoğan,32,FC Barcelona,20.0,LaLiga,Central Midfield
